Name,Religious Affiliation,Percent Admitted,Tuition,State,Region,Type,Urbanization,Enrollment,Percent American Indian,Percent Asian,Percent African American,Percent Hispanic,Percent Pacific Islander,Percent White,Percent Other Ethnicity,Percent Non Resident Alien,Graduation Rate,Percent Receiving Financial Aid,Percent Receiving Student Loan
Edward Waters College,Yes,27,11525,Florida,Southeast,Private,City,862,0,0,92,2,0,3,1,0,1,97,70
Paul Quinn College,Yes,99,13525,Texas,Southwest,Private,City,243,0,0,87,11,0,1,0,1,1,71,62
Allen University,Yes,,11940,South Carolina,Southeast,Private,City,651,0,0,100,0,0,0,0,0,11,93,87
Wilberforce University,Yes,58,15140,Ohio,Great Lakes,Private,Rural,463,1,0,91,0,0,3,3,1,39,100,100
Livingstone College,Yes,71,16024,North Carolina,Southeast,Private,Suburb,1175,1,0,91,1,0,0,7,0,11,98,91
Ottawa University-Phoenix,Yes,,,Arizona,Southwest,Private,City,345,1,1,9,11,0,43,35,0,,,
Ottawa University-Kansas City,Yes,,,Kansas,Plains,Private,City,292,1,3,8,3,0,79,6,0,,,
University of Sioux Falls,Yes,97,24550,South Dakota,Plains,Private,City,1100,0,1,3,2,0,89,1,1,35,100,85
Franklin College,Yes,60,27695,Indiana,Great Lakes,Private,Suburb,1014,0,0,4,1,0,84,5,1,53,100,80
Ottawa University-Milwaukee,Yes,,,Wisconsin,Great Lakes,Private,Suburb,289,1,3,11,4,0,35,45,0,,,
Eastern University,Yes,64,28090,Pennsylvania,Mid East,Private,Suburb,2541,0,2,26,11,0,50,8,3,49,100,80
Linfield College-McMinnville Campus,Yes,92,36310,Oregon,Far West,Private,Town,1671,1,6,2,9,1,63,4,5,59,99,67
Ottawa University-Ottawa,Yes,99,23964,Kansas,Plains,Private,Town,538,5,1,11,6,0,66,12,0,22,100,79
Ottawa University-Online,Yes,,,Kansas,Plains,Private,Town,383,8,3,14,5,0,61,10,0,,,
Alderson Broaddus University,Yes,43,22740,West Virginia,Southeast,Private,Town,1052,1,2,15,4,0,75,0,3,35,100,85
Bacone College,Yes,72,14050,Oklahoma,Southwest,Private,Town,965,26,3,30,8,1,19,11,0,0,88,83
Texas Lutheran University,Yes,51,25890,Texas,Southwest,Private,Town,1329,0,1,8,30,0,57,3,0,31,100,75
North Central University,Yes,95,19996,Minnesota,Plains,Private,City,1301,0,1,3,5,0,71,15,1,17,100,95
American Indian College of the Assemblies of God Inc,Yes,,12000,Arizona,Southwest,Private,City,79,56,0,11,19,6,8,0,0,25,100,75
Vanguard University of Southern California,Yes,70,29250,California,Far West,Private,City,2135,0,5,4,33,1,48,3,1,47,99,73
Evangel University,Yes,64,20040,Missouri,Plains,Private,City,2077,1,1,4,5,0,71,13,1,35,98,97
Southeastern University,Yes,59,19986,Florida,Southeast,Private,City,3083,0,1,13,15,0,62,6,1,24,97,72
Northwest University,Yes,97,25934,Washington,Far West,Private,Suburb,1438,1,6,3,8,1,72,4,3,37,99,94
Valley Forge Christian College,Yes,66,19394,Pennsylvania,Mid East,Private,Suburb,964,0,1,11,10,0,55,21,0,31,98,87
Southwestern Assemblies of God University,Yes,35,17830,Texas,Southwest,Private,Suburb,1700,2,1,10,19,0,65,1,0,14,99,75
Shaw University,Yes,54,16480,North Carolina,Southeast,Private,City,1923,0,0,70,1,1,1,26,1,16,98,95
Dallas Baptist University,Yes,42,22350,Texas,Southwest,Private,City,3435,1,2,21,10,0,56,0,10,43,95,57
Corban University,Yes,32,27431,Oregon,Far West,Private,City,936,1,2,1,4,1,68,6,12,46,100,72
Judson University,Yes,71,27530,Illinois,Great Lakes,Private,City,1066,0,2,7,10,0,59,16,4,32,100,85
Arkansas Baptist College,Yes,,8040,Arkansas,Southeast,Private,City,1027,0,0,92,0,0,7,0,0,4,88,73
Benedict College,Yes,,18254,South Carolina,Southeast,Private,City,2512,0,0,99,0,0,0,0,0,14,98,90
Virginia Union University,Yes,58,15130,Virginia,Southeast,Private,City,1359,0,0,95,1,0,1,1,1,22,99,86
Baylor University,Yes,57,35972,Texas,Southwest,Private,City,13292,0,6,7,13,0,65,1,4,57,96,49
Hardin-Simmons University,Yes,38,23460,Texas,Southwest,Private,City,1772,0,3,6,14,0,70,3,2,34,98,70
Central Baptist College,Yes,54,13350,Arkansas,Southeast,Private,City,827,1,0,21,2,0,72,0,3,19,99,68
Shorter University,Yes,68,19670,Georgia,Southeast,Private,City,1544,0,1,16,4,0,51,24,3,33,99,66
